timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/02/05 03:35:45.640, NVIDIA Thor, 98 %, [N/A], [N/A], 45
2026/02/05 03:35:46.642, NVIDIA Thor, 1 %, [N/A], [N/A], 43
2026/02/05 03:35:47.643, NVIDIA Thor, 71 %, [N/A], [N/A], 44
2026/02/05 03:35:48.646, NVIDIA Thor, 98 %, [N/A], [N/A], 45
2026/02/05 03:35:49.654, NVIDIA Thor, 0 %, [N/A], [N/A], 43
2026/02/05 03:35:50.660, NVIDIA Thor, 5 %, [N/A], [N/A], 43
2026/02/05 03:35:51.662, NVIDIA Thor, 97 %, [N/A], [N/A], 45
2026/02/05 03:35:52.664, NVIDIA Thor, 98 %, [N/A], [N/A], 45
2026/02/05 03:35:53.667, NVIDIA Thor, 5 %, [N/A], [N/A], 44
2026/02/05 03:35:54.669, NVIDIA Thor, 5 %, [N/A], [N/A], 43
2026/02/05 03:35:55.671, NVIDIA Thor, 2 %, [N/A], [N/A], 43
2026/02/05 03:35:56.674, NVIDIA Thor, 90 %, [N/A], [N/A], 44
2026/02/05 03:35:57.677, NVIDIA Thor, 94 %, [N/A], [N/A], 44
2026/02/05 03:35:58.683, NVIDIA Thor, 96 %, [N/A], [N/A], 44
2026/02/05 03:35:59.689, NVIDIA Thor, 97 %, [N/A], [N/A], 45
2026/02/05 03:36:00.692, NVIDIA Thor, 98 %, [N/A], [N/A], 45
2026/02/05 03:36:01.694, NVIDIA Thor, 2 %, [N/A], [N/A], 44
2026/02/05 03:36:02.696, NVIDIA Thor, 98 %, [N/A], [N/A], 45
2026/02/05 03:36:03.701, NVIDIA Thor, 97 %, [N/A], [N/A], 45
2026/02/05 03:36:04.703, NVIDIA Thor, 98 %, [N/A], [N/A], 45
2026/02/05 03:36:05.706, NVIDIA Thor, 20 %, [N/A], [N/A], 43
2026/02/05 03:36:06.707, NVIDIA Thor, 5 %, [N/A], [N/A], 44
2026/02/05 03:36:07.709, NVIDIA Thor, 97 %, [N/A], [N/A], 45
2026/02/05 03:36:08.716, NVIDIA Thor, 10 %, [N/A], [N/A], 44
2026/02/05 03:36:09.718, NVIDIA Thor, 0 %, [N/A], [N/A], 44
